id,task,task_label,brief
446,446,Draw an object on a rotating canvas,"Draw a picture of the object on your card.
You may not speak or communicate with your teammates in any way.
You must stay on your spot and not move the canvas or turntable.
You may not start drawing until the whistle blows.
First team to guess their object wins.
Each teammate scores two points for every correct guess."
447,447,The cheekiest food,Bring in the cheekiest food.
448,448,Make the phone ring,"Make this phone ring.
Fastest wins.
Your time starts now."
449,449,Persuade the security guard to look in your bag,"Secretly put something that looks amazing in your bag.
You have 10 minutes.
Your time starts now.

Persuade the security guard to look in your bag.
You may describe what is in your bag, but you must not say what is in your bag.
You must stay on your spot at all times, and you must not reveal the contents of your bag at any point, starting with the tallest person.
The tallest person can start talking in thirty seconds from now."
450,450,Drop a water balloon as far as possible without it bursting,"Drop this water balloon from the greatest height without it bursting.
You may not damage the water balloon or remove any water from it.
You have 10 minutes and one attempt.
Your time starts now."
451,451,Roll an edible sphere across a line as slowly as possible,"Roll an edible sphere across the finish line.
The person whose edible sphere crosses the finish line first each round is eliminated.
If your edible sphere stops moving before the finishing line you are eliminated.
Slowest edible sphere roller wins."
452,452,The best pointy thing,Bring in the best pointy thing.
453,453,Bag the heaviest thing from the greatest distance,"Bag the heaviest thing from the furthest distance.
Your attempt ends when you have bagged an item.
Highest score wins.
Your score is the weight of the bagged object in grams multiplied by the distance from the bagging machine in centimetres.
You have 20 minutes.
Your time starts now."
454,454,Paint a howling wolf on a rotating teapot,"Paint a picture of a howling wolf on this teapot.
You may not touch the teapot or remove it from the turntable and you may not tamper with the turntable or its power.
The turntable will keep speeding up until you have named 20 American states.
If you do name 20 American states, this turntable will slow down.
You have 10 minutes.
Your time starts now."
455,455,Do something out of character with £20,"Do something out of character with this £20.
Most out-of-character thing wins.
You have three months.
Your time starts now."
456,456,Feed your team-mate(s) the most watermelon,"Eat the most watermelon.
The watermelon must not leave the lab.
You must be wearing a boiler suit and safety goggles when you are eating the watermelon.
You must not feed yourself.
You have four minutes.
Your time starts now.

Eat the most watermelon.
You must be wearing a boiler suit and safety goggles when you are eating the watermelon.
You must stay on your platform at all times.
You must not feed yourself.
You must only eat the watermelon that is on your platform.
You have four minutes.
Your time starts now."
457,457,List words of a certain length without hesitating,"Say the most different words without hesitating for more than two seconds.
Any words already said will not count.
The person who says the fewest words each round is eliminated.
The person in last place goes first."
458,458,The most narcissistic thing,Bring in the most narcissistic thing.
459,459,Quietly make a cocktail,"Silently, make the tastiest and prettiest cocktail with the coolest name.
If you make any noise over 60dB, you most pour anything you’ve prepared into the bucket and shout “I love this” / “I've done it again” / “woof” / “I'm so sorry” / “failure” at a volume of over 100dB and start again.
You have 20 minutes.
Your time starts now."
460,460,Draw the animal watching you from the mirror,"Draw the animal that is watching you.
The animal is wearing a hat.
You may not leave this room and you must look in the mirror at all times.
Most accurate drawing wins.
You have five minutes.
Your time starts now."
461,461,Transfer the water from one barrel to another,"Get the most water from butt A into butt B.
You may not move a butt in the first five minutes.
You have 10 minutes.
Your time starts now."
462,462,Draw animals using straight lines,"Draw the animal named on your card.
Each artist may draw three straight lines on their turn.
That artist’s teammates may have one guess after these three lines.
If the guess is incorrect, the other team’s artist can draw their straight lines.
You may not speak or communicate with your teammates in any way.
Each team member gets two points for each team victory."
463,463,The best thing that’s bigger at the top than the bottom,Bring in the best thing that’s bigger at the top than the bottom.
464,464,Move two chickens around a course using a remote-control car and a mobility scooter,"Get to that finish line clutching chicken No. 2.
Get chicken No. 1 across the start line aboard the radio-controlled robot.
You must sit on the office chair at all times.
If anything touches the little robots your attempt is over.
Fastest wins.
Your time starts now."
465,465,Communicate the safe contents via reversed audio,"Tell your teammate what is in this safe.
You may speak into this microphone and they will hear your message played backwards.
You have 10 minutes to open the safe and record your message.
The most accurate answer wins.
Your time starts now.

Decipher the message to work out what’s in the safe."
466,466,Make the best and longest-lasting marble run,"Make the best marble run.
The marble that rolls for the longest time wins.
After releasing your marble, you may not touch your marble, nor do anything to affect its movement.
You have 30 minutes and one official attempt.
Your time starts now."
467,467,Communicate things to the Taskmaster using only sounds,"Communicate to the Taskmaster the item on your card.
You may only make noises.
You may not use any actions, or anything that sounds like a word.
Slowest communicator each round is eliminated.
Last communicator standing wins."
468,468,Work out how many sheets are on a toilet roll,"Calculate how many sheets there are on a loo roll.
Closest to the correct answer wins.
You have 30 seconds."
469,469,The best thing with wings,Bring in the best thing with wings.
470,470,Fill the cup to overflowing without touching the red green,"Fill this cup so that it overfloweth.
The cup must remain atop the cup pole at all times.
Only liquids may touch the red green.
Fastest wins.
Your time starts now."
471,471,Learn your lines and perform a scene,"Learn your lines.
You have 10 minutes to prepare for each of your parts, then one take to pull it off.
Best performance wins.
Your first 10 minutes starts now."
472,472,Extract water from a coconut,"Drink one full tablespoon of coconut water.
If you use the same coconut water extraction method as another contestant, you will both be disqualified.
Fastest wins.
Your time starts now."
473,473,Do not blink while staring at your opponent with a selected expression,"Stare at your opponent without blinking.
You must both be pulling the face that the Taskmaster chooses.
First person to blink, look away or do the wrong expression loses.
Each team member gets two points for each team victory."
474,474,The best bedding,Bring in the best bedding.
475,475,Make the largest beer mat house while ringing the doorbell with increasing frequency,"Make the biggest beer mat house on this table.
While making your biggest beer mat house you must ring the doorbell after exactly one minute, then after 58 more seconds, then 56 seconds, and so on until zero seconds.
Biggest beer mat house wins.
If you make more than two mistakes with the doorbell timing you will be disqualified.
Your time ends when you press the doorbell for the last time, and starts now."
476,476,Complete the most tasks behind the five motorised doors,"Complete the most tasks.
There is one task behind each door.
You may choose the order to open the doors.
You may only move when the doors are moving and you must stay this side of the line.
During the task, you must tell Alex which door to open within one minute of the previous door closing.
You must tell Alex which door to open first within one minute from now.

Throw 10 yellow things through this door.

Kick three orange things through this door.

Empty the bucket and put both your shoes in it.

Eat a whole banana.

Sit on the bucket and completely peel an orange and a banana."
477,477,Work out how many balls are in the basket,"Work out how many balls are in the basket.
Every ball must be in the basket when you make your guess.
Closest to the correct answer wins.
You have four minutes.
Your time starts now."
478,478,Draw the monster described by the Taskmaster,"Draw this monster the Taskmaster is going to describe.
Most accurate drawing wins.
You have two minutes from when the Taskmaster starts talking.
The Taskmaster will only give his description once."
479,479,The greatest collection,Bring in the greatest collection.
480,480,Put the wellies on the spider’s feet,"Put these wellies on the spider’s feet.
You must carry a welly at all times, but you must never carry more than three wellies.
You must not cut, untie or snap the twine.
Fastest wins.
Your time starts now."
481,481,Complete the best performance of a specific song,"Perform this song.
You have 20 minutes to prepare for your performance.
Best all-round performance wins.
Your time starts now."
482,482,Neatly hang all the clothes on a rail without stepping over the line,"Neatly hang all of Bernard’s clothes on that coat rail.
You must stay behind the line at all times.
Fastest wins.
Your time starts now."
483,483,Balance all the mints or biscuits on a spaghetti bridge,"Wearing mittens at all time, balance either all the mints or all the biscuits on a spaghetti bridge.
The mints or biscuits must only touch spaghetti.
The spaghetti must be balanced on the coconuts.
The coconuts must remain on their stands.
Fastest wins."
484,484,Guess how many green eggs are under the Taskmaster’s chair,"Guess how many green eggs are under the Taskmaster’s chair.
Closest wins."
485,485,The best thing to bring to a party,Bring in the best thing to bring to a party.
486,486,Get the biggest thing through the doughnut,"Get the biggest thing through the doughnut without breaking the doughnut.
You have 20 minutes.
Your time starts now."
487,487,Sculpt the scene on the other side of the wall,"Sculpt the scene on the other side of this wall.
Most accurate sculpture wins.
You have 15 minutes.
Your time starts now."
488,488,Build the lightest tower,"Build the lightest tower on this set of scales.
You may not move the scales or tape anything to them, and you may not tamper with or block the fan.
The fan will be on for one minute every other minute.
At the end of 10 minutes, your tower must be taller than a wolf and stand by itself for 10 seconds.
Lightest tower wins.
Your time starts now."
489,489,Strike balls into a bath with an object,"Without your fellow contestants seeing, select one object from your box.
If you select the same object as one of your fellow contestants you will both lose 1 actual point.
You have 30 seconds.

Strike the most balls into the bath with your object.
If any of your balls touch the Taskmaster you lose one actual point.
You have one minute."
490,490,"The best thing you can carry, but only just","Bring in the best thing you can carry, but only just."
491,491,Do something impressive under the table while waving,"Do the most impressive thing under this table with one hand.
You must be looking at the camera and waving with your other hand throughout your impressive thing.
You have 15 minutes to prepare for your impressive thing, then a minute in which to do your impressive thing.
Your time starts now."
492,492,Catch the rat,"Catch the rat.
Most ingenious catching of the rat wins.
You must be at least three metres from the rat when you catch it.
The rat will run over the red green in 30 minutes from now."
493,493,Deliver all the plates to Alex,"Deliver all the plates to Alex.
When carrying the plates, you must travel by scooter or bicycle or hoverboard.
For every plate fallen or broken, you will have 20 minutes added to your time.
Fastest wins.
You may start moving plates in three minutes from now."
494,494,Stack your buckets so that they are taller than you,"Stack your buckets so that they are taller than you, then put one beanbag on top of the buckets.
You may not leave your spot at any point.
Fastest wins."
495,495,The best drinking vessel,Bring in the best drinking vessel
496,496,Make the balloon hover,"Make that balloon hover untethered for 20 seconds.
During the hovering, the top of the balloon must not be higher than your chin, and the bottom of the balloon must not be lower than your waist.
Also, you must sneer throughout the 20 seconds.
Fastest wins.
Your time starts now."
497,497,Have an argument,"Have an argument.
You must take it in turns to angrily make a point using no more than 10 words, and you must always end your point with a different four-letter word.
You must look at each other throughout the argument and the person speaking must angrily wag their finger during their speech.
The argument is over when there is 10 second of silence, or when one of you looks away.
Longest argument wins.
Your argument must begin three minutes from now."
498,498,Make the house haunted,"Make the house haunted.
Most haunted house wins.
You have one hour.
Your time starts now."
499,499,Correctly guess your standing in the group,"Correctly guess your standing in the group.
The Taskmaster will read out a category, then you must hold the number that reflects your standing in the group.
Most correct answers wins."
500,500,The most shocking cat- to pig-sized thing,"Bring in the most shocking thing bigger than a cat, but smaller than a pig."
501,501,Make the sauna stones hiss,"Make the sauna stones hiss.
You must be standing behind the rope when the stones hiss.
You may not move the stones or the rope.
You may not use a hose.
Fastest wins.
Your time starts now."
502,502,Create a days in month mnemonic,"Create the best new way to remember how many days each month has.
You have 20 minutes.
Your time starts now."
503,503,Get your luggage through security,"Get all of your luggage through security.
You must stay inside the maze until your luggage has been through the x-ray machine.
You may go under one rope, and release one rope.
You may also disconnect one pole completely, but you must then pick up that pole and carry it for the rest of the task.
If any of your luggage touches any of the barriers, the maze will restart and you must start again.
Fastest wins.
Your time starts now."
504,504,Act out nursery rhymes,"Act out the nursery rhymes for the Taskmaster to guess.
Each team has three minutes to act out their nursery rhymes.
Most nursery rhymes guessed by the taskmaster wins.
You must remain silent and on your spots throughout."
505,505,The craziest thing,Bring in the craziest thing.
506,506,Get all of the banana in the bottle,"Get all of the banana in the bottle.
You may not break the bottle.
The bottle may not leave the lab.
Fastest wins.
Your time starts now."
507,507,Put the bag of salt onto that table,"Put the bag of salt on that table over there.
No-one may move while holding the bag of salt.
If the bag of salt touches the ground at any point, you must return to your starting point.
If any bell touches the ground at any point, you must return to your starting point.
You may not touch the rope or your belts.
Fastest wins.
Your time starts now."
508,508,Get the sheet of loo roll as far away as possible,"Get this sheet of loo roll as far from here as possible.
Only this sheet of loo roll may touch the ground.
The loo roll must not break at any point.
The loo roll inner tube must stay on the loo roll holder at all times.
You have 20 minutes.
Your time starts now"
509,509,Identify the contents of the bowl,"Write down what five things are in the bowl under the table, and how many of each thing there are.
You must look at the Taskmaster throughout this task.
One of your hands must be in the bowl, and the other must be holding your pen throughout the task.
You have two minutes.
Most accurate answers wins."
510,510,The best thing you can operate with your hand,Bring in the best thing you can operate with your hand.
511,511,Cover your legs in cling film and gaffer tape / Put on the captain’s hat,"Cover your lower half in biodegradable cling film and gaffer tape so that no part of your lower half isn’t covered in biodegradable cling film and gaffer tape.
Your time starts now.

Put on the captain’s hat.
Your lower half must be completely covered in biodegradable cling film and gaffer tape when you’re wearing the captain’s hat.
Fastest wins.
Your time starts now."
512,512,Make the best uniform for this bee,"Make the best uniform for this bee.
You must wear your beekeeping outfit throughout the task.
You have five minutes to order five items, then 15 minutes to make the uniform.
Your time starts now."
513,513,Sort the objects with your face,"Arrange the seven objects in a line on the table, in order of how many sides they have: fewest sides on your left; most sides on your right.
You may only touch the objects with your face.
If anything falls from the table, you are disqualified.
You have 10 minutes.
You must put on your darkness goggles now.
Your time starts now."
514,514,Slap and tong,"Grab the marshmallow with your tongs.
When the Taskmaster says 'play', you have 10 seconds to grab the marshmallow.
Once your tongs are over the table, you must attempt to grab the marshmallow.
If you successfully grab the marshmallow, you win.

Bat away the marshmallow.
When the Taskmaster says 'play', you will have 10 seconds to bat away the marshmallow.
Your hands may not be over the table until the other player's tongs are over the table.
If your hand is over the table first, you are disqualified from the round.
If you bat away the marshmallow, you win."
515,515,The most annoying thing,Bring in the most annoying thing.
516,516,Fart,"Fart.
Fartest wins.
Your time starts now."
517,517,Make a portrait of the Taskmaster on a door using your feet,"Make the best portrait of the Taskmaster on this door using only your feet.
You have 10 minutes.
Your time starts now."
518,518,Vandalise a wall creatively,"Vandalise this wall.
Most creative vandalism wins.
You have 20 minutes.
Your time starts now."
519,519,Identify the battered items,"Identify the contents of the battered items in this fish 'n' chips order.
You may lick and sniff all of the items.
You may bite into two.
You may squeeze one between your elbows.
You may really stamp on one.
You may look at one through a magnifying glass.
You may put one in a glass of water.
Most correctly identified items wins.
You have 10 minutes.
Your time starts now."
520,520,Tie the string to the glasses and put them on,"Tie the very ends of the string to the arms of the glasses, and then put the glasses on.
Fastest wins."
521,521,Fire rubber bands into Alex’s bum bag,"Fire as many rubber bands as possible into Alex’s dangerously-positioned bum bag.
You have two minutes.
Your time starts now."
522,522,The best thing to hang on a wall that you wouldn’t normally hang on a wall,Bring in the best thing to hang on a wall that you wouldn’t normally hang on a wall.
523,523,Complete the most tasks,"Complete these tasks.
Most tasks wins.
You may not step beyond this line.
You had 10 minutes from when the fuse was lit.
Attack the biscuit
Chuck the dog
Embrace the fish
Grab the hat
Inspect the jacket
Kick the lemon
Mash the nectarine
Open the plum
Quaff the Ribena
Sniff the turnip
Undermine the vole
Whack the xylophone
Yank the zebra"
524,524,Make the best babushka meal,"Make the best babushka meal.
Each course must be presented inside the previous course.
Best babushka meal wins.
You have five minutes to order your ingredients, and 20 minutes to prepare your babushka meal.
Your time starts now."
525,525,Get out of the front gate,"Get out of the front gate, setting off the alarm the fewest times.
Every time the alarm goes off, you must start again.
You must only step on your stepping stones.
Your time starts now."
526,526,Make your rubber gloves and wellies as heavy as possible,"Make your rubber gloves and wellies as heavy as possible whilst wearing your rubber gloves and wellies.
You have 90 seconds.
You must only put things in your rubber gloves for the first minute."
527,527,The most satisfying wobbly thing,Bring in the most satisfying wobbly thing.
528,528,Complete various tasks while saying ‘metronome’,"Say the word ‘metronome’ between each tick of this metronome.
You may not touch or stop the metronome.
Also, you must blow up and tie a balloon so that it’s bigger than your head, neatly gift wrap the balloon, and eat three whole poppadoms.
You have five minutes.
The person who accomplishes the most things with the fewest missed 'metronomes' wins.
Your time starts when the metronome starts."
529,529,Draw the best picture of a British animal,"Draw the best picture of a British animal.
Each person must fill in one section at a time, and may not look at any other section during that time.
Every section must be used, and you may not communicate with each other in any way during the task.
Best picture of a British animal wins.
You have three minutes per section.
Your time starts now."
530,530,Perform the greatest aircraft safety demonstration,"Record the greatest aircraft safety announcement, then perform the greatest aircraft safety demonstration.
Your announcement must be in an accent or language other than your own, and your demonstration must be unforgettable.
You have 20 minutes.
Your time starts now."
531,531,One leg or two?,"Stand on either one leg or both legs.
You must do so, one at a time, behind this curtain, with your hands on your head.
The Taskmaster will then guess if you're standing on either one leg, or both legs.
If he guesses correctly, you are eliminated.
The last person standing, on either one leg or both legs, wins."
532,532,The nattiest knitwear,Bring in the nattiest knitwear.
533,533,Make the most impressive weather for Taskmaster Island,"Make the most impressive and realistic weather for Taskmaster Island.
You have 30 minutes, and your weather must last for no more than a minute.
Your time starts now."
534,534,Build and topple a tower for a pot of yoghurt,"Build a tower, and then topple a tower so that the yoghurt lands in a numbered square.
You have one yoghurt, and one toppling attempt.
Highest score wins.
You have 20 minutes.
Your time starts now."
535,535,Appear as different as possible in four photos,"Look the most different in four photos taken by the camera.
The camera will spin around three times and take a picture every time it faces the frame.
You must not hinder the camera or the spinning mechanism in any way.
You must be in all four photos.
Most varied set of photos wins.
The camera will start spinning in 20 minutes from now."
536,536,Shove your fish,"Shove your fish onto the target using your mop.
You must shove your fish within 10 seconds of Alex laying down your fish.
Furthest from the target 10 seconds after each round is eliminated.
Last shover shoving wins."
537,537,The thing that makes you look the toughest,Bring in the thing that makes you look the toughest.
538,538,"Make the best picture of a big, scary dinosaur","Make the best picture of a big, scary dinosaur using this photocopier.
You may not leave the garage.
You have 15 minutes.
Your time starts now."
539,539,Scientifically work out how much Alex’s feet and head weigh,"Scientifically work out how much Alex’s feet and head weigh.
You may not use the internet.
Most accurate answer wins.
You have 20 minutes.
Your time starts now."
540,540,Direct a teammate into the red circle,"Direct a teammate into the red circle.
You must stay on your chair at all times.
You may only issue one instruction of three words every 30 seconds.
Fastest to get a teammate into the circle wins.
Your time starts now."
541,541,"Keeping your head still at all times, correctly don your special outfit","Keeping your head still at all times, correctly don your special outfit.
For every second your face is out of the frame, 10 seconds will be added to your time.
Put your hands in the air when you are correctly dressed.
Fastest wins."
542,542,The nicest thing to sit on,"Bring in the thing that if you put it in a bag and sat on it, it would feel the nicest."
543,543,Strike Alex with a ball,"Strike Alex with a ball.
Alex may not run, hide or leave the Taskmaster grounds.
Fastest wins.
Your time starts now."
544,544,Paint a flattering picture of the Taskmaster in action,"Paint the most flattering picture of the Taskmaster in action on the canvas in the lab.
The canvas will either be six inches or six feet above you.
You must lie flat on your back on the creeper at all times.
You have 10 minutes.
You must tell Alex if you want the canvas to be six inches or six feet above you within the next 10 seconds."
545,545,Pop the balloon,"Pop the balloon.
You must stay behind the rope at all times.
You must not move the rope.
You may buy the tools you need with time.
Fastest wins.
Your time starts when Alex has shown you his tool shop."
546,546,"Strike poses to represent a hobby, an animal, and a celebrity","Write down a cool hobby, a fun animal, and a famous person.
You have 30 seconds.

Strike a pose to represent first, your cool hobby, then your fun animal, then your famous person.
You will have 10 seconds to strike a pose and must hold the pose until the end of the round.
The Taskmaster will attempt to guess what each pose represents.
You may not make a noise or movement when posed."
547,547,The most awesome square,Bring in the most awesome square.
548,548,Scale the mountain,"Scale the mountain.
Your attempt must last exactly five minutes and will be sped up by five times afterwards.
Most thrilling ascent wins.
You must start your ascent within the next 10 minutes."
549,549,Work out the contents of the bags,"Work out the contents of these bags.
You may not open the bags.
You can either ask Alex to make one tiny hole in each bag, and have five minutes examination time, during which you must eat at least one big spoonful from each bag, or ask Alex to put all the contents in a blender for one minute, and then have 10 minutes examination time, during which eating is optional."
550,550,Paint the space hopper green,"Completely paint this space hopper green without making any mess.
The entire space hopper must be green.
The entire space hopper must stay in the dome.
When you are satisfied that you are finished, put your hands on your hips and bow deeply at your green space hopper.
Fastest and least messy wins.
Your time starts now."
551,551,Put on the medallion,"Put on the medallion.
You must not take off your jacket, or break the box.
Fastest wins."
552,552,The most old-fashioned thing that you still use,Bring in the most old-fashioned thing that you still use.
553,553,Copy Alex,"Copy Alex.
Alex will demonstrate his actions twice, then you will have one attempt to copy Alex.
Closest copy wins."
554,554,Make a sand bridge across the river,"Make the highest sand bridge across the river.
You may not leave the lab.
Your sand bridge must support the egg, and the egg must be able to pass under the sand bridge.
There are two bonus points for the most extravagant sand bridge.
You have 15 minutes.
Your time starts now."
555,555,Film a thrilling sequence with a welly-cam,"Film the most thrilling 30-second sequence wearing the welly-cam.
You have 30 minutes.
Your time starts now."
556,556,Convey objects using shadows,"Correctly guess your teammate's object.
Your teammate will represent their object through the medium of shadows on the screen.
Fastest correct guess wins two actual points per round."
557,557,The best thing that has quite a few layers,Bring in the best thing that has quite a few layers.
558,558,Complete the course as slowly as possible,"Complete the course as slowly as possible.
You must be riding the bicycle forwards within the limits of the course at all times.
Every time you put a foot on the ground, the clock will be paused, and your final time will be halved.
If you leave the course or miss an instruction, your time will also be halved, and the clock will be paused until you are back in position.
Slowest wins.
Your time starts when Alex fires his starter's pistol in five minutes from now."
559,559,Spread jam on toast in a really cool way,"Spread jam on a slice of toast in a really cool way.
Coolest jam spreading wins.
You have 20 minutes.
Your time starts now."
560,560,Solve the riddle,"Solve the riddle.
You must all stay in your rooms.
Fastest wins.
Your time starts now.

Solve the riddle.
You must all stay in your rooms.
Fastest wins.
Also, you will get two bonus points if you can make one of your teammates say the word 'submarine'.
You may not say 'submarine' at any point.
If they think you've tried to make them say 'submarine', you lose two points.
Your time starts now."
561,561,Get the most forks in your bucket,"Get the most forks in your bucket.
You may only throw a fork after a full spin on your chair.
You must stay sat in your chair at all times and you may not move your chair.
You have 100 seconds."
562,562,The most elegant thing beginning with 'G',Bring in the most elegant thing beginning with G.
563,563,Sit on a cake,"Sit on a cake.
Fastest wins.
There are five bonus points available for the best cake.
Your time starts now."
564,564,Get the most balls in the net,"Get the most balls in the net.
Everyone must stay on their spots at all times.
If anyone other than the task reader touches or handles a ball, you lose five balls from your ball total.
Also, the person on the middle spot must sit for 10 seconds and then stand up straight for 10 seconds on repeat.
Any balls remaining between the task reader and the middle person will be deducted from your ball total.
You have five minutes.
Your time starts when Alex pretends his whistle isn't working."
565,565,Prevent Alex from scoring a goal,"Prevent Alex from scoring a goal.
Alex will attempt to score a goal in 15 minutes time, and the ball and goalposts must be on their spots when he doesl.
You must be 12 yards from the ball when Alex attempts to score.
Slowest goal scored by Alex wins.
Your time starts now."
566,566,Pop the most balloons,"Pop the most balloons.
You may pop between one and 10 balloons each turn.
If you pop one of the five bad balloons, you are disqualified.
The eventual winner gets 10 actual points."
567,567,The most desirable thing for another contestant,"Bring in the most desirable thing for the person below you in the alphabet, or the highest, alphabetically, if you're the lowest, alphabetically."
568,568,Land the iron on the ironing board,"Land the iron on the ironing board from the furthest distance.
The ironing board must be standing at its maximum height when the iron lands on it and the iron must remain on the ironing board for the attempt to count.
You have 20 minutes.
Your time starts now."
569,569,Make a cute toy for a cute dog,"Make a cute toy for a cute dog.
The dog will have five minutes with your cute toy.
Most engaged dog wins.
You have 20 minutes.
Your time starts now."
570,570,Sit on the red chair in the secret tower,"Sit on the red chair in the secret tower.
You may only step on circles on your way.
You may only stand on each circle once, unless it is black.
You may stand on a black circle twice, but never twice in a row.
Also you must put this task in the shredder within the first minute.
If you fail for any reason, Alex will blow his whistle, return everything to its starting position, and you must start again.
Fastest wins.
Your time starts when Alex says your name."
571,571,Make paper aeroplanes,"Choose the number of sheets you want for the second part of the task.
Each sheet will reduce your points total by five.
You have 30 seconds to select your sheets.

Make paper aeroplanes.
Your paper aeroplanes must look like aeroplanes.
You will have two minutes to make your paper aeroplanes, then 30 seconds each to throw all your paper aeroplanes into the receptacles.
Most points wins.
Your time starts now."
572,572,The most ridiculous thin thing,Bring in the most ridiculous thin thing.
573,573,Put up a shelf for the Taskmaster's snooker balls,"Put up a shelf for all the Taskmaster's snooker balls.
All the Taskmaster's snooker balls must be at the Taskmaster's eyeline.
Only the Taskmaster's snooker balls may be on the finished shelf.
Fastest wins.
Your time starts now."
574,574,Write and perform a 30-second jingle,"Write and perform a 30-second jingle.
You must reach into the barrel to find the subject of your jingle, then pop a balloon to discover the instrument that you must play under your jingle.
You have 15 minutes.
Your time starts as soon as you have chosen your subject and instrument."
575,575,Pass everything through the pipe and the pipe through everything,"Either get the pipe through the box and everything in it then get the box and everything in it through the pipe, or get the box and everything in it through the pipe then get the pipe through the box and everything in it.
Fastest wins.
Your time starts now."
576,576,Direct drawings using limited keywords,"Each person must direct their fellow contestants to draw an image.
The drawing director may only use the following words: line, circle, square, big, small, up, down, left, right, middle, please, bendy.
At the end of one minute, the drawers must write down what they think the image is.
The drawers will receive one point per correct guess.
The drawing director will also receive one point per correct guess.
Most points overall wins."
577,577,The best thing you have repurposed,Bring in the best thing you use for something other than its actual purpose.
578,578,Make a popcorn necklace and do the right thing,"Make and wear a popcorn necklace with at least five pieces of popcorn and then do the opposite of the following:
You must under no circumstances not avoid not making the bell not ring.
The task is over when you have either rung the bell or not rung the bell and said ""I did the right thing"" three times.
Fastest to not do the wrong thing wins.
If you don't do the right thing, you lose five points.
Your time started when you started reading the task."
579,579,Play and commentate on a socially-distanced sport,"Play the most brilliant minute of socially-distanced sport.
You have 10 minutes.
Your time starts now.

Provide the most iconic and memorable commentary for this brilliant one minute of socially-distanced sport.
One of you must commentate on the action, another must provide analysis.
Best commentary on the most brilliant socially-distanced sport wins.
You have 15 minutes.
Your time starts now."
580,580,Make your face look like another face when it's upside-down,"Make your face look like another face when your face is turned upside-down.
Most expressive and radically different upside-down face wins.
You have 15 minutes.
Your time starts now."
581,581,Pop up before the objects,"Pop up before the object, but only just.
You are only allowed to pop up once.
Closest to the pop before the pop wins the round.
If you pop up after the object, you get no points that round."
582,582,Blow a feather across a table with your nose,"Blow the feather across the table using only your nose.
Fastest wins."
583,583,The best 40 identical things on a towel,Bring in 40 things that are all the same and can all fit on a towel and are the best.
584,584,Have the longest telephone conversation,"Have the longest telephone conversation without the other person knowing you are trying to have a long telephone conversation.
During the call, you must not mention television or Taskmaster.
Every minute, you must reveal and carry out an action from the board.
If the person you call says any of the key words, you must hang up immediately.
You must call someone within two minutes from now."
585,585,Find the soldier with hindsight,"Strike the soldier with your throwing paint.
The soldier will say your name every five seconds.
You may not remove or tamper with your helmet.
Fastest wins.
Your time starts when you are correctly wearing your helmet."
586,586,Get goosebumps,"Get goosebumps.
Your goosebumps must be revealed in the lab.
Fastest wins.
Your time starts now."
587,587,Duck-slide,"Get the highest score by sliding your ducks.
Each team will slide a pair of ducks three times.
The duck slider must smirk at the Taskmaster whilst sliding their ducks.
The winning team will receive five points per person, the losing team will get zero."
588,588,The most magnificent floppy thing,Bring in the most magnificent floppy thing.
589,589,Drink with your mouth open,"Drink all this drink with your mouth open.
Your mouth must be visibly open throughout.
Fastest wins.
Your time starts, and your mouth must open, when Alex blows the whistle."
590,590,Describe the Taskmaster / Chocolate button / Guess the tasks,"Using your whole body to make individual characters, describe the Taskmaster.
Your description must be a minimum of 20 characters long.
Most vivid description wins.
You have 10 minutes.
Your time starts when the whistle blows.

Lick a chocolate button, stick it on your forehead, then transfer the chocolate button to your mouth without touching it with your hands or leaving the chair.
Your time starts when the whistle blows.

Work out what your teammate's tasks are.
You must stay in the caravan and not communicate with your teammates in any way.
After 10 minutes, you must write down what you think their tasks were.
Best guesser wins.
Your time starts when the whistle blows."
591,591,Propose to Alex,"Propose to Alex in the most irresistible way.
You have 30 minutes.
Your time starts now."
592,592,Make noises without being identified by the Taskmaster,"One at a time, make a noise without the Taskmaster identifying you.
The person who makes the most unidentified noises wins."
593,593,"The most beguiling, unwieldy, shiny thing","Bring in the most beguiling, unwieldy, shiny thing."
594,594,Daringly put the egg in the eggcup,"Put the egg in the eggcup in the most daring way.
If the egg breaks, you are disqualified.
You have 30 minutes.
Your time starts now."
595,595,Drink all the vinegar,"Drink all the vinegar.
Fastest wins.
Your time starts now, and stops when you shout ""I've drunk all the vinegar!"""
596,596,Navigate the course with the pole,"Choose a length for this pole, then guide it through the course.
The person who completes the course with the longest pole wins.
Every time your pole touches something other than your hands, 10 centimetres will be taken from its length.
You have a maximum of 10 minutes.
Your time starts now."
597,597,Turn a ball into a competitor's head,"Choose a ball.
You have 30 seconds.

Turn your ball into a head.
Your new head must be the head of one of your fellow contestants.
Best head wins.
You have 200 seconds."
598,598,The most exciting thing to be found in a skip,"Bring in the thing that, if you found it in a skip, you would be most excited by."
599,599,Find all ten ducks in the lab,"Find all 10 ducks.
You must stay in the lab.
Fastest wins.
You have a maximum of 20 minutes.
Your time started when you entered the lab."
600,600,Create a lipstick portrait of the Taskmaster,"Create the best picture of the Taskmaster using only lipstick on your lips.
You have 10 minutes, and your picture must fill most of the canvas.
Your time starts now."
601,601,Duel with Alex,"Devise a duel and have the duel with Alex.
You have 20 minutes to devise your duel and have the duel with Alex.
Most exhilarating duel wins.
Your time starts now."
