id,task,task_label,winner,winner_label,team,live
891,714,Collect carp pellets in a fish bowl,96,Mo Farah,0,0
892,715,Obey Greg's instructions,93,Amelia Demoldenberg,0,1
893,715,Obey Greg's instructions,96,Mo Farah,0,1
894,716,The most dependable thing that weighs about 1kg,102,Mae Martin,0,0
895,717,Have the best first wedding dance with Alex,101,Kiell Smith-Bynoe,0,0
896,718,Put a ball of string on the cushion,102,Mae Martin,0,0
897,719,Get all the rubber rings on your bargepole,102,Mae Martin,0,0
898,720,Throw your items into your bucket,98,Frankie Boyle,0,1
899,720,Throw your items into your bucket,100,Jenny Eclair,0,1
900,721,The object which makes you feel weirdest when you look at it,101,Kiell Smith-Bynoe,0,0
901,722,Compose and perform a musical solo,99,Ivo Graham,0,0
902,722,Compose and perform a musical solo,100,Jenny Eclair,0,0
903,722,Compose and perform a musical solo,101,Kiell Smith-Bynoe,0,0
904,723,Build a bridge over the red green for this potato,98,Frankie Boyle,1,0
905,723,Build a bridge over the red green for this potato,99,Ivo Graham,1,0
906,724,Achieve an impressive effect with a single breath,102,Mae Martin,0,0
907,725,Create a picture of an animal on the back of your T-shirt,100,Jenny Eclair,0,1
908,726,The most heroic thing,100,Jenny Eclair,0,0
909,727,Exit the caravan after exactly 20 minutes,99,Ivo Graham,0,0
910,728,Catch the potatoes in the potato hat,102,Mae Martin,0,0
911,729,Perform a slow-motion fight scene,98,Frankie Boyle,1,0
912,729,Perform a slow-motion fight scene,99,Ivo Graham,1,0
913,730,Know the most facts about sausages,99,Ivo Graham,0,1
914,731,The most fun non-headwear to wear on your head,98,Frankie Boyle,0,0
915,732,Strike the most drums with a bouncy ball,102,Mae Martin,0,0
916,733,Make the fastest egg boat,101,Kiell Smith-Bynoe,0,0
917,734,Task bingo,100,Jenny Eclair,0,0
918,736,The luckiest thing,101,Kiell Smith-Bynoe,0,0
919,737,Fake something,98,Frankie Boyle,0,0
920,738,Musical Simon Says,98,Frankie Boyle,0,0
921,738,Musical Simon Says,102,Mae Martin,0,0
922,739,Salvage the most spoons,100,Jenny Eclair,1,0
923,739,Salvage the most spoons,101,Kiell Smith-Bynoe,1,0
924,739,Salvage the most spoons,102,Mae Martin,1,0
925,740,Stuff your team-mate's waders,100,Jenny Eclair,1,1
926,740,Stuff your team-mate's waders,101,Kiell Smith-Bynoe,1,1
927,740,Stuff your team-mate's waders,102,Mae Martin,1,1
928,741,The best thing to play about with in your bathroom,98,Frankie Boyle,0,0
929,742,Perform a poignant domestic scene with an imaginary companion,98,Frankie Boyle,0,0
930,743,Efficiently shell an egg,102,Mae Martin,0,0
931,744,Bash the big bell with the bowling ball,102,Mae Martin,0,0
932,745,Story-time chairs,102,Mae Martin,0,1
933,746,The most brilliant thing that pops up,98,Frankie Boyle,0,0
934,747,Rotate the pulper wheel without pulping the egg,99,Ivo Graham,0,0
935,748,Free yourselves and have a team hug,100,Jenny Eclair,1,0
936,748,Free yourselves and have a team hug,101,Kiell Smith-Bynoe,1,0
937,748,Free yourselves and have a team hug,102,Mae Martin,1,0
938,749,Set the parameters for your own task,101,Kiell Smith-Bynoe,0,0
939,750,Imitate accents/walks,98,Frankie Boyle,0,1
940,750,Imitate accents/walks,101,Kiell Smith-Bynoe,0,1
941,750,Imitate accents/walks,102,Mae Martin,0,1
942,751,"The thing you take everywhere with you, but struggle to fit in your bag",100,Jenny Eclair,0,0
943,752,Pile the pineapples on the path,102,Mae Martin,0,0
944,753,Repurpose an umbrella,101,Kiell Smith-Bynoe,0,0
945,754,Put the most stuff on top of a jelly,98,Frankie Boyle,0,0
946,755,Use the scratching post to remove balls from your suit,100,Jenny Eclair,1,1
947,755,Use the scratching post to remove balls from your suit,101,Kiell Smith-Bynoe,1,1
948,755,Use the scratching post to remove balls from your suit,102,Mae Martin,1,1
949,756,The sneakiest thing,101,Kiell Smith-Bynoe,0,0
950,757,Make these things the same colour,98,Frankie Boyle,1,0
951,757,Make these things the same colour,99,Ivo Graham,1,0
952,757,Make these things the same colour,100,Jenny Eclair,1,0
953,757,Make these things the same colour,101,Kiell Smith-Bynoe,1,0
954,757,Make these things the same colour,102,Mae Martin,1,0
955,758,Deliver a one-minute history lecture,99,Ivo Graham,0,0
956,759,Make exactly 99 holes in the piece of paper,98,Frankie Boyle,0,0
957,760,Estimate the heights of things,101,Kiell Smith-Bynoe,0,1
958,761,The best Greg Davies merchandise,102,Mae Martin,0,0
959,762,Fill the glass up to the line,102,Mae Martin,0,0
960,763,Do what Alex does,98,Frankie Boyle,0,0
961,764,Perform a lullaby for a profession,100,Jenny Eclair,1,0
962,764,Perform a lullaby for a profession,101,Kiell Smith-Bynoe,1,0
963,764,Perform a lullaby for a profession,102,Mae Martin,1,0
964,765,"Standing in ice, or not standing in ice?",100,Jenny Eclair,0,1
965,766,Scream with your mouth closed,100,Jenny Eclair,0,0
966,767,The most wonderful wooden thing you’ve owned for a while,103,Julian Clary,0,0
967,768,Build a tower of cans in the lab,105,Sam Campbell,0,0
968,769,Cross the finish line while connected to your team,103,Julian Clary,1,0
969,769,Cross the finish line while connected to your team,104,Lucy Beaumont,1,0
970,769,Cross the finish line while connected to your team,105,Sam Campbell,1,0
971,770,Get the duck into the lake,107,Susan Wokoma,0,0
972,771,Heavier or lighter?,103,Julian Clary,0,1
973,771,Heavier or lighter?,104,Lucy Beaumont,0,1
974,771,Heavier or lighter?,105,Sam Campbell,0,1
975,772,The best sign,106,Sue Perkins,0,0
976,773,Pull the sword from the stone,103,Julian Clary,0,0
977,774,Make a cheeky picture using nails and wire,105,Sam Campbell,0,0
978,774,Make a cheeky picture using nails and wire,106,Sue Perkins,0,0
979,775,Make mischief,107,Susan Wokoma,0,0
980,776,Draw something you like and something you dislike,103,Julian Clary,0,1
981,777,Recite pi,106,Sue Perkins,0,0
982,778,The present that raises the most questions,105,Sam Campbell,0,0
983,779,Get the ball in the hole without touching it,103,Julian Clary,0,0
984,780,Get underneath the most unique things,105,Sam Campbell,0,0
985,781,Choose a new nickname,105,Sam Campbell,0,0
986,782,Human war boats,103,Julian Clary,1,1
987,782,Human war boats,104,Lucy Beaumont,1,1
988,782,Human war boats,105,Sam Campbell,1,1
989,783,The best thing for a grown-up that is meant for a child,104,Lucy Beaumont,0,0
990,784,Make a surprisingly pleasant sausage,106,Sue Perkins,0,0
991,785,Complete all the tasks as a team,103,Julian Clary,1,0
992,785,Complete all the tasks as a team,104,Lucy Beaumont,1,0
993,785,Complete all the tasks as a team,105,Sam Campbell,1,0
994,786,Recreate a well-known piece of art on 100 memo squares,105,Sam Campbell,0,0
995,786,Recreate a well-known piece of art on 100 memo squares,106,Sue Perkins,0,0
996,787,Roll your animal die,105,Sam Campbell,0,1
997,788,Tut the loudest,106,Sue Perkins,0,0
998,789,The best thing that has five things on it,107,Susan Wokoma,0,0
999,790,Burst the balloon without looking at it,106,Sue Perkins,0,0
1000,791,Make a cool but scary googly-eyed gang,105,Sam Campbell,0,0
1001,793,Retrieve and sip your drink,103,Julian Clary,0,1
1002,794,The greatest thing that makes quite a loud noise when you shake it,105,Sam Campbell,0,0
1003,795,Avoid the rubbish robots,104,Lucy Beaumont,0,0
1004,796,Recreate the garage scene in the lab,103,Julian Clary,1,0
1005,796,Recreate the garage scene in the lab,104,Lucy Beaumont,1,0
1006,796,Recreate the garage scene in the lab,105,Sam Campbell,1,0
1007,796,Recreate the garage scene in the lab,106,Sue Perkins,1,0
1008,796,Recreate the garage scene in the lab,107,Susan Wokoma,1,0
1009,797,"Present a powerful piece called ""Heads, Shoulders, Knees and Toes""",104,Lucy Beaumont,0,0
1010,797,"Present a powerful piece called ""Heads, Shoulders, Knees and Toes""",105,Sam Campbell,0,0
1011,798,Pineapple bluff,107,Susan Wokoma,0,1
1012,799,The thing most guaranteed to make you groan,106,Sue Perkins,0,0
1013,800,Play with these switches / Balance the most golf tees,104,Lucy Beaumont,0,0
1014,801,Pie the air dancer in the face,107,Susan Wokoma,0,0
1015,802,Place your cardboard replica within the boundary,105,Sam Campbell,0,0
1016,803,Get three balls on your hat using litter-pickers,103,Julian Clary,0,1
1017,804,Pop your party popper the furthest,104,Lucy Beaumont,0,1
1018,805,The best single-word object you own and love that gets the best reaction when introduced following a drum roll,106,Sue Perkins,0,0
1019,806,Find the secret task,105,Sam Campbell,0,0
1020,807,Complete the fortune trail,103,Julian Clary,0,0
1021,808,Convince a child you're asleep,105,Sam Campbell,0,0
1022,808,Convince a child you're asleep,107,Susan Wokoma,0,0
1023,809,Mime the proverbs,106,Sue Perkins,1,1
1024,809,Mime the proverbs,107,Susan Wokoma,1,1
