id,task,task_label,contestant,contestant_label,PO,base,adjustment,points,rank,episode,series,team,team_label,location,location_label
622,133,The best chair,19,Joe Lycett,1,2,,2,4,2,102,,,,
623,133,The best chair,20,Lolly Adefope,2,3,,3,3,3,95,,,,
624,133,The best chair,21,Mel Giedroyc,3,1,,1,5,1,101,,,,
625,133,The best chair,22,Noel Fielding,5,4,,4,2,4,109,,,,
626,134,Cross the bunting to give Alex his lunch,18,Hugh Dennis,4,4,,4,2,9,105,,,,
627,134,Cross the bunting to give Alex his lunch,19,Joe Lycett,1=,3,,3,3,5,105,,,,
628,134,Cross the bunting to give Alex his lunch,20,Lolly Adefope,1=,1,,1,5,4,96,,,,
629,134,Cross the bunting to give Alex his lunch,21,Mel Giedroyc,1=,2,,2,4,3,103,,,,
630,134,Cross the bunting to give Alex his lunch,22,Noel Fielding,5,5,,5,1,9,114,,,,
631,135,Hide from Alex,18,Hugh Dennis,1=,3,,3,3=,12,108,,,,
632,135,Hide from Alex,19,Joe Lycett,1=,3,,3,3=,8,108,,,,
633,135,Hide from Alex,20,Lolly Adefope,4=,5,,5,1,9,101,,,,
634,135,Hide from Alex,21,Mel Giedroyc,4=,4,,4,2,7,107,,,,
635,135,Hide from Alex,22,Noel Fielding,3,1,,1,5,10,115,,,,
636,136,Wheelie bin obstacle course,18,Hugh Dennis,1=,2,,2,2=,14,110,7,Hugh and Mel,,
637,136,Wheelie bin obstacle course,19,Joe Lycett,2=,3,,3,1=,11,111,8,"Joe, Lolly and Noel",,
638,136,Wheelie bin obstacle course,20,Lolly Adefope,2=,3,,3,1=,12,104,8,"Joe, Lolly and Noel",,
639,136,Wheelie bin obstacle course,21,Mel Giedroyc,1=,2,,2,2=,9,109,7,Hugh and Mel,,
640,136,Wheelie bin obstacle course,22,Noel Fielding,2=,3,,3,1=,13,118,8,"Joe, Lolly and Noel",,
641,137,Invent a new handshake,18,Hugh Dennis,2,3,,3,3=,17,113,,,,
642,137,Invent a new handshake,19,Joe Lycett,5,5,,5,1,16,116,,,,
643,137,Invent a new handshake,20,Lolly Adefope,3,3,,3,3=,15,107,,,,
644,137,Invent a new handshake,21,Mel Giedroyc,1,3,,3,3=,12,112,,,,
645,137,Invent a new handshake,22,Noel Fielding,4,4,,4,2,17,122,,,,
646,138,Make the biggest and best banana,18,Hugh Dennis,5,3,,3,3,20,116,,,,
647,138,Make the biggest and best banana,19,Joe Lycett,4,4,,4,2,20,120,,,,
648,138,Make the biggest and best banana,20,Lolly Adefope,3,5,,5,1,20,112,,,,
649,138,Make the biggest and best banana,21,Mel Giedroyc,2,1,,1,5,13,113,,,,
650,138,Make the biggest and best banana,22,Noel Fielding,1,2,,2,4,19,124,,,,
651,139,Open the jar of mayonnaise,18,Hugh Dennis,1=,0,,0,,20,116,,,,
652,139,Open the jar of mayonnaise,19,Joe Lycett,3,0,,0,,20,120,,,,
653,139,Open the jar of mayonnaise,20,Lolly Adefope,1=,0,,0,,20,112,,,,
654,140,The most cash,18,Hugh Dennis,1,1,,1,5,1,117,,,,
655,140,The most cash,19,Joe Lycett,2,4,,4,2,4,124,,,,
656,140,The most cash,20,Lolly Adefope,5,5,,5,1,5,117,,,,
657,140,The most cash,21,Mel Giedroyc,4,2,,2,4,2,115,,,,
658,140,The most cash,22,Noel Fielding,3,3,,3,3,3,127,,,,
659,141,Create an exotic sandwich,18,Hugh Dennis,2=,1,,1,5,2,118,,,,
660,141,Create an exotic sandwich,19,Joe Lycett,2=,4,,4,2,8,128,,,,
661,141,Create an exotic sandwich,20,Lolly Adefope,2=,3,,3,3,8,120,,,,
662,141,Create an exotic sandwich,21,Mel Giedroyc,1,2,,2,4,4,117,,,,
663,141,Create an exotic sandwich,22,Noel Fielding,5,5,,5,1,8,132,,,,
664,142,Eat your exotic sandwich,18,Hugh Dennis,2=,5,,5,1,7,123,,,,
665,142,Eat your exotic sandwich,19,Joe Lycett,2=,2,,2,4,10,130,,,,
666,142,Eat your exotic sandwich,20,Lolly Adefope,2=,3,,3,3,11,123,,,,
667,142,Eat your exotic sandwich,21,Mel Giedroyc,1,4,1,5,2,9,122,,,,
668,142,Eat your exotic sandwich,22,Noel Fielding,5,1,1,2,5,10,134,,,,
669,143,Strike an item the farthest,18,Hugh Dennis,4=,4,,4,2,11,127,,,,
670,143,Strike an item the farthest,19,Joe Lycett,1=,3,,3,3,13,133,,,,
671,143,Strike an item the farthest,20,Lolly Adefope,3,1,,1,5,12,124,,,,
672,143,Strike an item the farthest,21,Mel Giedroyc,1=,2,,2,4,11,124,,,,
673,143,Strike an item the farthest,22,Noel Fielding,4=,5,,5,1,15,139,,,,
674,144,Do something surprising with a duck,18,Hugh Dennis,3,2,,2,4,13,129,,,,
675,144,Do something surprising with a duck,19,Joe Lycett,1,3,,3,3,16,136,,,,
676,144,Do something surprising with a duck,20,Lolly Adefope,2,1,,1,5,13,125,,,,
677,144,Do something surprising with a duck,21,Mel Giedroyc,4,5,,5,1,16,129,,,,
678,144,Do something surprising with a duck,22,Noel Fielding,5,4,,4,2,19,143,,,,
679,145,Draw the median duck,18,Hugh Dennis,1,0,,0,,13,129,,,,
680,145,Draw the median duck,19,Joe Lycett,2,0,,0,,16,136,,,,
681,145,Draw the median duck,20,Lolly Adefope,3,0,,0,,13,125,,,,
682,145,Draw the median duck,21,Mel Giedroyc,4,5,,5,1,21,134,,,,
683,145,Draw the median duck,22,Noel Fielding,5,0,1,1,,20,144,,,,
684,146,The most excellent noise,23,Aisling Bea,1,3,,3,3,3,3,,,,
685,146,The most excellent noise,24,Bob Mortimer,2,2,,2,4,2,2,,,,
686,146,The most excellent noise,25,Mark Watson,3,5,,5,1,5,5,,,,
687,146,The most excellent noise,26,Nish Kumar,4,1,,1,5,1,1,,,,
688,146,The most excellent noise,27,Sally Phillips,5,4,,4,2,4,4,,,,
689,147,Give Alex a special cuddle,23,Aisling Bea,2,3,,3,3,6,6,,,,
690,147,Give Alex a special cuddle,24,Bob Mortimer,5,5,,5,1,7,7,,,,
691,147,Give Alex a special cuddle,25,Mark Watson,4,2,,2,4=,7,7,,,,
692,147,Give Alex a special cuddle,26,Nish Kumar,1,2,,2,4=,3,3,,,,
693,147,Give Alex a special cuddle,27,Sally Phillips,3,4,,4,2,8,8,,,,
694,148,Get Alex to dry land,23,Aisling Bea,1=,3,,3,3,9,9,,,,
695,148,Get Alex to dry land,24,Bob Mortimer,3=,2,,2,4,9,9,,,,
696,148,Get Alex to dry land,25,Mark Watson,1=,1,,1,5,8,8,,,,
697,148,Get Alex to dry land,26,Nish Kumar,5,5,,5,1,8,8,,,,
698,148,Get Alex to dry land,27,Sally Phillips,3=,4,,4,2,12,12,,,,
699,149,Score a basket without your hands,23,Aisling Bea,3=,3,,3,3,12,12,,,,
700,149,Score a basket without your hands,24,Bob Mortimer,1=,5,,5,1,14,14,,,,
701,149,Score a basket without your hands,25,Mark Watson,1=,4,,4,2,12,12,,,,
702,149,Score a basket without your hands,26,Nish Kumar,5,2,,2,4,10,10,,,,
703,149,Score a basket without your hands,27,Sally Phillips,3=,,,0,,12,12,,,,
704,150,Get some fruit into the bowl,23,Aisling Bea,0,1,,1,5,13,13,,,,
705,150,Get some fruit into the bowl,24,Bob Mortimer,0,4,,4,2,18,18,,,,
706,150,Get some fruit into the bowl,25,Mark Watson,0,5,,5,1,17,17,,,,
707,150,Get some fruit into the bowl,26,Nish Kumar,0,3,,3,3,13,13,,,,
708,150,Get some fruit into the bowl,27,Sally Phillips,0,2,,2,4,14,14,,,,
709,151,The hippest headwear,23,Aisling Bea,2,3,,3,3,3,16,,,,
710,151,The hippest headwear,24,Bob Mortimer,5,4,,4,2,4,22,,,,
711,151,The hippest headwear,25,Mark Watson,4,2,,2,4,2,19,,,,
712,151,The hippest headwear,26,Nish Kumar,1,1,,1,5,1,14,,,,
713,151,The hippest headwear,27,Sally Phillips,3,5,,5,1,5,19,,,,
714,152,Make a coconut-flinging machine,23,Aisling Bea,1=,2,,2,4=,5,18,,,,
715,152,Make a coconut-flinging machine,24,Bob Mortimer,4=,5,,5,1,9,27,,,,
716,152,Make a coconut-flinging machine,25,Mark Watson,4=,2,,2,4=,4,21,,,,
717,152,Make a coconut-flinging machine,26,Nish Kumar,1=,3,,3,3,4,17,,,,
718,152,Make a coconut-flinging machine,27,Sally Phillips,1=,4,,4,2,9,23,,,,
719,153,Paint a rainbow in the dark,23,Aisling Bea,1=,5,,5,1,10,23,,,,
720,153,Paint a rainbow in the dark,24,Bob Mortimer,1=,1,,1,5,10,28,,,,
721,153,Paint a rainbow in the dark,25,Mark Watson,5,3,,3,3,7,24,,,,
722,153,Paint a rainbow in the dark,26,Nish Kumar,4,2,,2,4,6,19,,,,
723,153,Paint a rainbow in the dark,27,Sally Phillips,1=,4,,4,2,13,27,,,,
724,154,Slice bread using something from the caravan,23,Aisling Bea,1,,,0,,10,23,,,,
725,154,Slice bread using something from the caravan,24,Bob Mortimer,4=,,,0,,10,28,,,,
726,154,Slice bread using something from the caravan,25,Mark Watson,2=,4,,4,2,11,28,,,,
727,154,Slice bread using something from the caravan,26,Nish Kumar,2=,5,,5,1,11,24,,,,
728,154,Slice bread using something from the caravan,27,Sally Phillips,4=,,,0,,13,27,,,,
729,155,Create the greatest splat,23,Aisling Bea,1=,2,,2,2=,12,25,10,"Aisling, Bob and Sally",,
730,155,Create the greatest splat,24,Bob Mortimer,1=,2,,2,2=,12,30,10,"Aisling, Bob and Sally",,
731,155,Create the greatest splat,25,Mark Watson,2=,3,,3,1=,14,31,9,Mark and Nish,,
732,155,Create the greatest splat,26,Nish Kumar,2=,3,,3,1=,14,27,9,Mark and Nish,,
733,155,Create the greatest splat,27,Sally Phillips,1=,2,,2,2=,15,29,10,"Aisling, Bob and Sally",,
734,156,Paint your own canvas,23,Aisling Bea,0,5,,5,1=,17,30,,,,
735,156,Paint your own canvas,24,Bob Mortimer,0,4,,4,5,16,34,,,,
736,156,Paint your own canvas,25,Mark Watson,0,5,,5,1=,19,36,,,,
737,156,Paint your own canvas,26,Nish Kumar,0,5,,5,1=,19,32,,,,
738,156,Paint your own canvas,27,Sally Phillips,0,5,,5,1=,20,34,,,,
739,157,The proudest item,23,Aisling Bea,2,3,,3,3,3,33,,,,
740,157,The proudest item,24,Bob Mortimer,1,5,,5,1,5,39,,,,
741,157,The proudest item,25,Mark Watson,5,2,,2,4,2,38,,,,
742,157,The proudest item,26,Nish Kumar,4,1,,1,5,1,33,,,,
743,157,The proudest item,27,Sally Phillips,3,4,,4,2,4,38,,,,
744,158,Retrieve the table tennis ball from the tube,23,Aisling Bea,1,,,0,,3,33,,,,
745,158,Retrieve the table tennis ball from the tube,24,Bob Mortimer,4,5,,5,1,10,44,,,,
746,158,Retrieve the table tennis ball from the tube,25,Mark Watson,2=,3,,3,3,5,41,,,,
747,158,Retrieve the table tennis ball from the tube,26,Nish Kumar,2=,2,,2,4,3,35,,,,
748,158,Retrieve the table tennis ball from the tube,27,Sally Phillips,5,4,,4,2,8,42,,,,
749,159,Make a coconut businessman,23,Aisling Bea,2,3,,3,3,6,36,,,,
750,159,Make a coconut businessman,24,Bob Mortimer,1,1,,1,5,11,45,,,,
751,159,Make a coconut businessman,25,Mark Watson,3,4,,4,2,9,45,,,,
752,159,Make a coconut businessman,26,Nish Kumar,5,5,,5,1,8,40,,,,
753,159,Make a coconut businessman,27,Sally Phillips,4,2,,2,4,10,44,,,,
754,160,"Eat one item, balance one item, throw one item",23,Aisling Bea,1=,2,,2,4,8,38,,,,
755,160,"Eat one item, balance one item, throw one item",24,Bob Mortimer,1=,4,,4,2,15,49,,,,
756,160,"Eat one item, balance one item, throw one item",25,Mark Watson,3=,3,,3,3,12,48,,,,
757,160,"Eat one item, balance one item, throw one item",26,Nish Kumar,3=,0,,0,,8,40,,,,
758,160,"Eat one item, balance one item, throw one item",27,Sally Phillips,5,5,,5,1,15,49,,,,
759,161,Word table tennis,23,Aisling Bea,0,5,,5,1,13,43,,,,
760,161,Word table tennis,24,Bob Mortimer,0,2,,2,4,17,51,,,,
761,161,Word table tennis,25,Mark Watson,0,3,,3,3,15,51,,,,
762,161,Word table tennis,26,Nish Kumar,0,4,,4,2,12,44,,,,
763,161,Word table tennis,27,Sally Phillips,0,1,,1,5,16,50,,,,
764,162,The most extraordinary souvenir,23,Aisling Bea,5,5,,5,1,5,48,,,,
765,162,The most extraordinary souvenir,24,Bob Mortimer,4,1,,1,5,1,52,,,,
766,162,The most extraordinary souvenir,25,Mark Watson,2,2,,2,4,2,53,,,,
767,162,The most extraordinary souvenir,26,Nish Kumar,3,4,,4,2,4,48,,,,
768,162,The most extraordinary souvenir,27,Sally Phillips,1,3,,3,3,3,53,,,,
769,163,Make marmite,23,Aisling Bea,1,3,,3,3,8,51,,,,
770,163,Make marmite,24,Bob Mortimer,3,5,,5,1,6,57,,,,
771,163,Make marmite,25,Mark Watson,2,4,,4,2,6,57,,,,
772,163,Make marmite,26,Nish Kumar,4,,,0,,4,48,,,,
773,163,Make marmite,27,Sally Phillips,5,2,,2,4,5,55,,,,
774,164,Do something remarkable synchronised,23,Aisling Bea,2=,3,,3,1=,11,54,10,"Aisling, Bob and Sally",,
775,164,Do something remarkable synchronised,24,Bob Mortimer,2=,3,,3,1=,9,60,10,"Aisling, Bob and Sally",,
776,164,Do something remarkable synchronised,25,Mark Watson,1=,2,,2,2=,8,59,9,Mark and Nish,,
777,164,Do something remarkable synchronised,26,Nish Kumar,1=,2,,2,2=,6,50,9,Mark and Nish,,
778,164,Do something remarkable synchronised,27,Sally Phillips,2=,3,,3,1=,8,58,10,"Aisling, Bob and Sally",,
779,165,Blow up a balloon to the size of a cucumber,23,Aisling Bea,1=,3,,3,3,14,57,,,,
780,165,Blow up a balloon to the size of a cucumber,24,Bob Mortimer,1=,4,,4,2,13,64,,,,
781,165,Blow up a balloon to the size of a cucumber,25,Mark Watson,1=,5,,5,1,13,64,,,,
782,165,Blow up a balloon to the size of a cucumber,26,Nish Kumar,1=,1,,1,5,7,51,,,,
783,165,Blow up a balloon to the size of a cucumber,27,Sally Phillips,1=,2,,2,4,10,60,,,,
784,166,Spot the difference,23,Aisling Bea,4=,5,,5,1,19,62,,,,
785,166,Spot the difference,24,Bob Mortimer,1=,2,,2,4=,15,66,,,,
786,166,Spot the difference,25,Mark Watson,1=,3,,3,2=,16,67,,,,
787,166,Spot the difference,26,Nish Kumar,4=,3,,3,2=,10,54,,,,
788,166,Spot the difference,27,Sally Phillips,1=,2,,2,4=,12,62,,,,
789,167,Sneeze the fastest,23,Aisling Bea,1=,,,0,,19,62,,,,
790,167,Sneeze the fastest,24,Bob Mortimer,1=,5,,5,1,20,71,,,,
791,167,Sneeze the fastest,25,Mark Watson,4=,4,,4,2,20,71,,,,
792,167,Sneeze the fastest,26,Nish Kumar,4=,0,,0,,10,54,,,,
793,167,Sneeze the fastest,27,Sally Phillips,1=,,,0,,12,62,,,,
794,168,Greg says...,23,Aisling Bea,0,5,,5,1,24,67,,,,
795,168,Greg says...,24,Bob Mortimer,0,1,,1,5,21,72,,,,
796,168,Greg says...,25,Mark Watson,0,4,,4,2,24,75,,,,
797,168,Greg says...,26,Nish Kumar,0,2,,2,4,12,56,,,,
798,168,Greg says...,27,Sally Phillips,0,3,,3,3,15,65,,,,
799,169,Backthrow a picture of a Swede into a bin,23,Aisling Bea,1,0,,0,,24,67,,,,
800,169,Backthrow a picture of a Swede into a bin,25,Mark Watson,2,0,,0,,24,75,,,,
801,170,The most high-octane item,23,Aisling Bea,4,3,,3,3,3,70,,,,
802,170,The most high-octane item,24,Bob Mortimer,5,4,,4,2,4,76,,,,
803,170,The most high-octane item,25,Mark Watson,1,1,,1,5,1,76,,,,
804,170,The most high-octane item,26,Nish Kumar,3,2,,2,4,2,58,,,,
805,170,The most high-octane item,27,Sally Phillips,2,5,,5,1,5,70,,,,
806,171,Put the largest thing inside a balloon,23,Aisling Bea,1=,5,,5,1,8,75,,,,
807,171,Put the largest thing inside a balloon,24,Bob Mortimer,3=,0,,0,,4,76,,,,
808,171,Put the largest thing inside a balloon,25,Mark Watson,1=,4,,4,2,5,80,,,,
809,171,Put the largest thing inside a balloon,26,Nish Kumar,5,0,,0,,2,58,,,,
810,171,Put the largest thing inside a balloon,27,Sally Phillips,3=,0,,0,,5,70,,,,
811,172,Create a remarkable water cooler moment,23,Aisling Bea,2,2,,2,4,10,77,,,,
812,172,Create a remarkable water cooler moment,24,Bob Mortimer,1,3,,3,3,7,79,,,,
813,172,Create a remarkable water cooler moment,25,Mark Watson,4,1,,1,5,6,81,,,,
814,172,Create a remarkable water cooler moment,26,Nish Kumar,5,4,,4,2,6,62,,,,
815,172,Create a remarkable water cooler moment,27,Sally Phillips,3,5,,5,1,10,75,,,,
816,173,Text the Taskmaster every day,25,Mark Watson,1,,,0,,6,81,,,,
817,174,Build a can tower & greet Alex from different countries,23,Aisling Bea,1,1,,1,5,11,78,,,,
818,174,Build a can tower & greet Alex from different countries,24,Bob Mortimer,2,5,,5,1=,12,84,,,,
819,174,Build a can tower & greet Alex from different countries,25,Mark Watson,3=,5,,5,1=,11,86,,,,
820,174,Build a can tower & greet Alex from different countries,26,Nish Kumar,3=,3,,3,3,9,65,,,,
821,174,Build a can tower & greet Alex from different countries,27,Sally Phillips,5,2,,2,4,12,77,,,,
822,175,Identify the Finns,23,Aisling Bea,1,4,,4,2=,15,82,,,,
823,175,Identify the Finns,24,Bob Mortimer,2,2,,2,4=,14,86,,,,
824,175,Identify the Finns,25,Mark Watson,3,5,,5,1,16,91,,,,
825,175,Identify the Finns,26,Nish Kumar,4,4,,4,2=,13,69,,,,
826,175,Identify the Finns,27,Sally Phillips,5,2,,2,4=,14,79,,,,
827,176,The best home-made item,23,Aisling Bea,3,4,,4,2,4,86,,,,
828,176,The best home-made item,24,Bob Mortimer,5,5,,5,1,5,91,,,,
829,176,The best home-made item,25,Mark Watson,2,1,,1,5,1,92,,,,
830,176,The best home-made item,26,Nish Kumar,1,3,,3,3,3,72,,,,
831,176,The best home-made item,27,Sally Phillips,4,2,,2,4,2,81,,,,
832,177,Balance Alex on a see-saw,23,Aisling Bea,5,3,,3,3,7,89,,,,
833,177,Balance Alex on a see-saw,24,Bob Mortimer,4,2,,2,4,7,93,,,,
834,177,Balance Alex on a see-saw,25,Mark Watson,1,1,,1,5,2,93,,,,
835,177,Balance Alex on a see-saw,26,Nish Kumar,2=,5,,5,1,8,77,,,,
836,177,Balance Alex on a see-saw,27,Sally Phillips,2=,4,,4,2,6,85,,,,
837,178,Record the most incredible PoV footage,23,Aisling Bea,2,4,,4,2=,11,93,,,,
838,178,Record the most incredible PoV footage,24,Bob Mortimer,3,4,,4,2=,11,97,,,,
839,178,Record the most incredible PoV footage,25,Mark Watson,1,4,,4,2=,6,97,,,,
840,178,Record the most incredible PoV footage,26,Nish Kumar,4,1,,1,5,9,78,,,,
841,178,Record the most incredible PoV footage,27,Sally Phillips,5,5,,5,1,11,90,,,,
842,179,The golden pineapple portfolio,23,Aisling Bea,1,0,,0,,11,93,,,,
843,180,Light a candle using a cupcake,23,Aisling Bea,1,1,,1,5,12,94,,,,
844,180,Light a candle using a cupcake,24,Bob Mortimer,4,5,,5,1,16,102,,,,
845,180,Light a candle using a cupcake,25,Mark Watson,5,4,,4,2,10,101,,,,
846,180,Light a candle using a cupcake,26,Nish Kumar,2=,2,,2,4,11,80,,,,
847,180,Light a candle using a cupcake,27,Sally Phillips,2=,3,,3,3,14,93,,,,
848,181,Make yourself monotone,23,Aisling Bea,0,5,,5,1,17,99,,,,
849,181,Make yourself monotone,24,Bob Mortimer,0,2,,2,4,18,104,,,,
850,181,Make yourself monotone,25,Mark Watson,0,3,,3,3,13,104,,,,
851,181,Make yourself monotone,26,Nish Kumar,0,1,,1,5,12,81,,,,
852,181,Make yourself monotone,27,Sally Phillips,0,4,,4,2,18,97,,,,
853,182,Kick yoghurt at a target,24,Bob Mortimer,1=,0,,0,,18,104,,,,
854,182,Kick yoghurt at a target,27,Sally Phillips,1=,0,,0,,18,97,,,,
855,183,The most surprisingly expensive item,23,Aisling Bea,1,3,,3,3=,3,102,,,,
856,183,The most surprisingly expensive item,24,Bob Mortimer,3,3,,3,3=,3,107,,,,
857,183,The most surprisingly expensive item,25,Mark Watson,5,5,,5,1,5,109,,,,
858,183,The most surprisingly expensive item,26,Nish Kumar,2,1,,1,5,1,82,,,,
859,183,The most surprisingly expensive item,27,Sally Phillips,4,4,,4,2,4,101,,,,
860,184,Travel blindfolded for three minutes and retrace your steps,23,Aisling Bea,2=,4,,4,2,7,106,,,,
861,184,Travel blindfolded for three minutes and retrace your steps,24,Bob Mortimer,1,5,,5,1,8,112,,,,
862,184,Travel blindfolded for three minutes and retrace your steps,25,Mark Watson,2=,2,,2,4,7,111,,,,
863,184,Travel blindfolded for three minutes and retrace your steps,26,Nish Kumar,4=,1,,1,5,2,83,,,,
864,184,Travel blindfolded for three minutes and retrace your steps,27,Sally Phillips,4=,3,,3,3,7,104,,,,
865,185,Coconut bobsleigh,23,Aisling Bea,2=,5,,5,1,12,111,,,,
866,185,Coconut bobsleigh,24,Bob Mortimer,4=,,,0,,8,112,,,,
867,185,Coconut bobsleigh,25,Mark Watson,1,3,,3,3,10,114,,,,
868,185,Coconut bobsleigh,26,Nish Kumar,2=,4,,4,2,6,87,,,,
869,185,Coconut bobsleigh,27,Sally Phillips,4=,,,0,,7,104,,,,
870,186,Vote for who should receive five points,23,Aisling Bea,1=,0,,0,,12,111,,,,
871,186,Vote for who should receive five points,24,Bob Mortimer,1=,0,,0,,8,112,,,,
872,186,Vote for who should receive five points,25,Mark Watson,1=,-2,,-2,,8,112,,,,
873,186,Vote for who should receive five points,26,Nish Kumar,1=,-2,,-2,,4,85,,,,
874,186,Vote for who should receive five points,27,Sally Phillips,1=,5,,5,1,12,109,,,,
875,187,Make a funny flick book,23,Aisling Bea,3,3,,3,3=,15,114,,,,
876,187,Make a funny flick book,24,Bob Mortimer,1,5,,5,1=,13,117,,,,
877,187,Make a funny flick book,25,Mark Watson,4,3,,3,3=,11,115,,,,
878,187,Make a funny flick book,26,Nish Kumar,5,5,,5,1=,9,90,,,,
879,187,Make a funny flick book,27,Sally Phillips,2,3,,3,3=,15,112,,,,
880,188,Zipwire items to the Taskmaster,23,Aisling Bea,0,2,,2,4,17,116,,,,
881,188,Zipwire items to the Taskmaster,24,Bob Mortimer,0,5,,5,1,18,122,,,,
882,188,Zipwire items to the Taskmaster,25,Mark Watson,0,4,,4,2,15,119,,,,
883,188,Zipwire items to the Taskmaster,26,Nish Kumar,0,3,,3,3,12,93,,,,
884,188,Zipwire items to the Taskmaster,27,Sally Phillips,0,1,,1,5,16,113,,,,
885,189,The most awkward item to take home,23,Aisling Bea,4,2,,2,4,2,118,,,,
886,189,The most awkward item to take home,24,Bob Mortimer,2,1,,1,5,1,123,,,,
887,189,The most awkward item to take home,25,Mark Watson,1,5,,5,1,5,124,,,,
888,189,The most awkward item to take home,26,Nish Kumar,3,4,,4,2,4,97,,,,
889,189,The most awkward item to take home,27,Sally Phillips,5,3,,3,3,3,116,,,,
890,190,Transport a coconut as far as possible,23,Aisling Bea,1=,3,,3,3,5,121,,,,
891,190,Transport a coconut as far as possible,24,Bob Mortimer,1=,4,,4,2,5,127,,,,
892,190,Transport a coconut as far as possible,25,Mark Watson,4,,,0,,5,124,,,,
893,190,Transport a coconut as far as possible,26,Nish Kumar,1=,2,,2,4,6,99,,,,
894,190,Transport a coconut as far as possible,27,Sally Phillips,5,5,,5,1,8,121,,,,
895,191,Create the best graph,23,Aisling Bea,4,3,,3,3=,8,124,,,,
896,191,Create the best graph,24,Bob Mortimer,5,4,,4,2,9,131,,,,
897,191,Create the best graph,25,Mark Watson,2,3,,3,3=,8,127,,,,
898,191,Create the best graph,26,Nish Kumar,1,5,,5,1,11,104,,,,
899,191,Create the best graph,27,Sally Phillips,3,3,,3,3=,11,124,,,,
900,192,Make the most fish puns,1,Alex Horne,2,5,,5,,,,,,,
901,192,Make the most fish puns,27,Sally Phillips,1,0,,0,,11,124,,,,
902,193,Write and perform a song about a stranger,23,Aisling Bea,2=,2,,2,2=,10,126,10,"Aisling, Bob and Sally",,
903,193,Write and perform a song about a stranger,24,Bob Mortimer,2=,2,,2,2=,11,133,10,"Aisling, Bob and Sally",,
904,193,Write and perform a song about a stranger,25,Mark Watson,1=,3,,3,1=,11,130,9,Mark and Nish,,
905,193,Write and perform a song about a stranger,26,Nish Kumar,1=,3,,3,1=,14,107,9,Mark and Nish,,
906,193,Write and perform a song about a stranger,27,Sally Phillips,2=,2,,2,2=,13,126,10,"Aisling, Bob and Sally",,
907,194,Throw an egg through a basketball hoop,23,Aisling Bea,0,0,,0,,10,126,,,,
908,194,Throw an egg through a basketball hoop,24,Bob Mortimer,0,5,,5,1,16,138,,,,
909,194,Throw an egg through a basketball hoop,25,Mark Watson,0,0,,0,,11,130,,,,
910,194,Throw an egg through a basketball hoop,26,Nish Kumar,0,0,,0,,14,107,,,,
911,194,Throw an egg through a basketball hoop,27,Sally Phillips,0,4,,4,2,17,130,,,,
912,195,The most embarrassing item,28,Bob Mortimer,1,2,,2,4,2,2,,,,
913,195,The most embarrassing item,29,Josh Widdicombe,2,5,,5,1,5,5,,,,
914,195,The most embarrassing item,30,Katherine Ryan,3,4,,4,2,4,4,,,,
915,195,The most embarrassing item,31,Noel Fielding,4,1,,1,5,1,1,,,,
916,195,The most embarrassing item,32,Rob Beckett,5,3,,3,3,3,3,,,,
917,196,Throw an exercise ball into a bath or put the coconuts in a trolley,28,Bob Mortimer,1=,2,,2,4,4,4,,,,
918,196,Throw an exercise ball into a bath or put the coconuts in a trolley,29,Josh Widdicombe,5,1,,1,5,6,6,,,,
919,196,Throw an exercise ball into a bath or put the coconuts in a trolley,30,Katherine Ryan,1=,3,,3,3,7,7,,,,
920,196,Throw an exercise ball into a bath or put the coconuts in a trolley,31,Noel Fielding,4,5,,5,1,6,6,,,,
921,196,Throw an exercise ball into a bath or put the coconuts in a trolley,32,Rob Beckett,3,4,,4,2,7,7,,,,
922,197,Blow something substantial off a table,28,Bob Mortimer,1=,2,,2,4,6,6,,,,
923,197,Blow something substantial off a table,29,Josh Widdicombe,4=,4,,4,2=,10,10,,,,
924,197,Blow something substantial off a table,30,Katherine Ryan,4=,4,,4,2=,11,11,,,,
925,197,Blow something substantial off a table,31,Noel Fielding,1=,1,,1,5,7,7,,,,
926,197,Blow something substantial off a table,32,Rob Beckett,3,5,,5,1,12,12,,,,
927,198,Perform a miracle,28,Bob Mortimer,5,4,,4,3=,10,10,,,,
928,198,Perform a miracle,29,Josh Widdicombe,4,5,,5,1=,15,15,,,,
929,198,Perform a miracle,30,Katherine Ryan,3,5,,5,1=,16,16,,,,
930,198,Perform a miracle,31,Noel Fielding,1,4,,4,3=,11,11,,,,
931,198,Perform a miracle,32,Rob Beckett,2,3,,3,5,15,15,,,,
932,199,The second longest T-word,28,Bob Mortimer,0,1,,1,5,11,11,,,,
933,199,The second longest T-word,29,Josh Widdicombe,0,4,,4,2=,19,19,,,,
934,199,The second longest T-word,30,Katherine Ryan,0,4,,4,2=,20,20,,,,
935,199,The second longest T-word,31,Noel Fielding,0,5,,5,1,16,16,,,,
936,199,The second longest T-word,32,Rob Beckett,0,4,,4,2=,19,19,,,,
937,200,Sing along to the Taskmaster theme tune,29,Josh Widdicombe,1,0,,0,,0,19,,,,
938,201,The best thing,28,Bob Mortimer,5,3,,3,3=,3,14,,,,
939,201,The best thing,29,Josh Widdicombe,4,3,,3,3=,3,22,,,,
940,201,The best thing,30,Katherine Ryan,3,1,,1,5,1,21,,,,
941,201,The best thing,31,Noel Fielding,2,4,,4,2,4,20,,,,
